test,symbol,period,horizon_bars,n,hit_rate,avg_ret,sharpe
btc_impulse_alt_lag,BNB/USDT,IS,6,182,0.510989010989011,0.004318087027829292,0.09423695158416333
btc_impulse_alt_lag,BNB/USDT,OOS,1,2,1.0,0.005844173987997636,0.9811479578948389
btc_impulse_alt_lag,BNB/USDT,OOS,3,2,1.0,0.011756035258563502,2.305229832398534
btc_impulse_alt_lag,BNB/USDT,OOS,6,2,1.0,0.011787185428308478,2.796966340172676
btc_impulse_alt_lag,BNB/USDT,full,1,184,0.5652173913043478,0.0033880904276668644,0.13024633424371476
btc_impulse_alt_lag,BNB/USDT,full,3,184,0.5163043478260869,0.004276752527855922,0.13639906032698054
btc_impulse_alt_lag,BNB/USDT,full,6,184,0.5163043478260869,0.0043992728800084134,0.09652144187285067
ethbtc_above_ma,BNB/USDT,IS,42,5585,0.5267681289167413,0.02704782532342398,0.15004083514699706
ethbtc_below_ma,BNB/USDT,IS,42,15800,0.5275316455696203,0.018997673675969634,0.14112782139818267
ethbtc_above_ma,BNB/USDT,OOS,42,1182,0.5313028764805414,0.0048459377699832575,0.06301170266014183
ethbtc_below_ma,BNB/USDT,OOS,42,2149,0.5262912982782689,0.002669137925909078,0.03937642619964388
ethbtc_above_ma,BNB/USDT,full,42,6767,0.5275602187084381,0.02316979501632084,0.1386556620547887
ethbtc_below_ma,BNB/USDT,full,42,17949,0.5273831411220681,0.017042688811805613,0.13256050822265197
alt_btc_rs_breakout,ADA/USDT,IS,6,684,0.47953216374269003,0.009537159388158297,0.1347678471081487
alt_btc_rs_breakout,ADA/USDT,IS,18,684,0.52046783625731,0.02333943586802098,0.2050994599543912
alt_btc_rs_breakout,ADA/USDT,IS,42,684,0.5146198830409356,0.03568979567789621,0.20025152338148614
alt_btc_rs_breakout,ADA/USDT,OOS,6,73,0.5068493150684932,0.008950441978496424,0.16780971779444379
alt_btc_rs_breakout,ADA/USDT,OOS,18,73,0.5616438356164384,0.0037821652107859127,0.04633437132588374
alt_btc_rs_breakout,ADA/USDT,OOS,42,69,0.36231884057971014,0.012874079473830038,0.1095932307546333
alt_btc_rs_breakout,ADA/USDT,full,6,757,0.4821664464993395,0.009480580298455105,0.13690599450808152
alt_btc_rs_breakout,ADA/USDT,full,18,757,0.52443857331572,0.021453463928816013,0.19291466939111415
alt_btc_rs_breakout,ADA/USDT,full,42,753,0.50066401062417,0.03359911251975468,0.19353098507985975
btc_impulse_alt_lag,ADA/USDT,IS,1,142,0.5070422535211268,0.00035370970058788286,0.0140334320301787
btc_impulse_alt_lag,ADA/USDT,IS,3,142,0.4788732394366197,0.0010450200793124492,0.02231224877468516
btc_impulse_alt_lag,ADA/USDT,IS,6,142,0.3732394366197183,0.000858444032688505,0.01338518438287873
